,question,year,gold_label,gold_context,gold_document_id,rag_pred,baseline_pred,retrieved_id
18239988,Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,2008,yes,"Higher MCVs and AST/ALT ratios in ASH reflect the severity of underlying liver disease and do not differentiate NASH from ASH. Instead, these biomarkers might prove useful in guiding selection of patients for liver biopsy and in targeting therapy.",18239988,yes,yes,18239988
25957366,Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,,no,"No change occurred upon instituting simple, at-the-visit family history prompts geared to improve PCPs' ability to identify patients at high risk for 6 common conditions. The results are both surprising and disappointing. Further studies should examine physicians' perception of the utility of prompts for family history risk.",25957366,yes,yes,25957366
24866606,Do emergency ultrasound fellowship programs impact emergency medicine residents' ultrasound education?,2014,yes,Emergency US fellowship programs had a positive impact on residents' US educational experiences. Emergency medicine residents performed more scans overall and also used bedside US for more advanced applications in programs with EUS fellowships.,24866606,no,yes,24866606
26578404,Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,2016,yes,Opioid PCT is a feasible and acceptable therapeutic method to reduce refractory breathlessness in palliative care patients.,26578404,yes,yes,26578404
11729377,Is there still a need for living-related liver transplantation in children?,2001,yes,"The short- and long-term outcomes after LRT and SLT did not differ significantly. To avoid the risk for the donor in LRT, SLT represents the first-line therapy in pediatric liver transplantation in countries where cadaveric organs are available. LRT provides a solution for urgent cases in which a cadaveric graft cannot be found in time or if the choice of the optimal time point for transplantation is vital.",11729377,no,yes,11729377
17096624,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,,yes,Findings suggest that cluster analyses may be useful in identifying groups for targeted health messages.,17096624,yes,yes,17096624
22694248,Is there a model to teach and practice retroperitoneoscopic nephrectomy?,2013,yes,RPN in a porcine model is feasible and could be very useful for teaching and practicing retroperitoneoscopy.,22694248,yes,yes,22694248
22990761,Cardiovascular risk in a rural adult West African population: is resting heart rate also relevant?,2014,yes,Significant associations were observed between RHR and several established cardiovascular risk factors. Prospective studies are needed in sub-Saharan African populations to establish the potential value of RHR in cardiovascular risk assessment.,22990761,yes,yes,22990761
19394934,Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,2009,yes,Hospital preparedness can be better defined by a fixed number of casualties rather than a percentile of its bed capacity. Only 20% of the arriving casualties will require immediate medical treatment. Implementation of this concept may improve the utilisation of national emergency health resources both in the preparation phase and on real time.,19394934,yes,no,19394934
11481599,Acute respiratory distress syndrome in children with malignancy--can we predict outcome?,2001,yes,"Peak inspiratory pressure, PEEP, and ventilation index values could distinguish survivors from nonsurvivors by day 3. This may assist in early application of supportive nonconventional therapies in children with malignancy and ARDS.",11481599,yes,no,11481599
21669959,Secondhand smoke risk in infants discharged from an NICU: potential for significant health disparities?,2011,yes,"The most disadvantaged families were least likely to have protective health behaviors in place to reduce SHSe and, consequently, are most at-risk for tobacco exposure and subsequent tobacco-related health disparities. Innovative SHSe interventions for this vulnerable population are sorely needed.",21669959,yes,yes,21669959
23806388,Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?,2013,yes,"Currently available nomograms used to predict BCR accurately predict PCSM and other more clinically relevant endpoints. Moreover, not only do they significantly predict PCSM, but do so with generally greater accuracy than BCR.",23806388,no,no,23806388
17919952,Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?,2008,yes,"Self-reported mechanical factors associated with chronic oro-facial pain are confounded, in part, by psychological factors and are equally common across other frequently unexplained syndromes. They may represent another feature of somatisation. Therefore the use of extensive invasive therapy such as occlusal adjustments and surgery to change mechanical factors may not be justified in many cases.",17919952,yes,no,17919952
10966943,Amblyopia: is visual loss permanent?,2000,no,Older people with a history of amblyopia who develop visual loss in the previously normal eye can experience recovery of visual function in the amblyopic eye over a period of time. This recovery in visual function occurs in the wake of visual loss in the fellow eye and the improvement appears to be sustained.,10966943,no,no,10966943
23690198,Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,2013,yes,"Present audit shows that the process of implementation of labor analgesia was quick, successful and safe, notwithstanding the identification of one cluster of women with suboptimal response to epidural analgesia that need to be further studies, overall pregnant womens'adhesion to labor analgesia was satisfactory.",23690198,yes,yes,23690198
20537205,Is halofantrine ototoxic?,2010,yes,"Halofantrine has mild to moderate pathological effects on cochlea histology, and can be considered an ototoxic drug.",20537205,yes,yes,20537205
28707539,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,2017,yes,"VAT area measurement at a single level 3 cm above the lower margin of the L3 vertebra is feasible and can reflect changes in VAT volume and body weight. Advances in knowledge: As VAT area at a CT slice 3cm above the lower margin of L3 can best reflect interval changes in VAT volume and body weight, VAT area measurement should be selected at this location.",28707539,yes,yes,28707539
7482275,Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,1995,no,The results of this study cast doubt on the suggested advantage of HBO in reducing patient mortality and morbidity when used as adjuvant therapy for NF.,7482275,yes,yes,7482275
9645785,Is a mandatory general surgery rotation necessary in the surgical clerkship?,1998,no,Effective undergraduate surgical education can be offered in many specialty settings. Removal of the requirement for general surgery in clerkship may lead to a more effective use of all educational opportunities. A careful analysis of local programs and facilities is necessary before suggesting this change to other institutions.,9645785,no,yes,9645785
26298839,Is Acupuncture Efficacious for Treating Phonotraumatic Vocal Pathologies?,2016,yes,The findings showed that acupuncture of voice-related acupoints could bring about improvement in vocal function and healing of vocal fold lesions.,26298839,yes,yes,26298839
24153338,Is aneurysm repair justified for the patients aged 80 or older after aneurysmal subarachnoid hemorrhage?,2014,yes,"Better prognosis was obtained when ruptured aneurysm was repaired in the elderly than it was treated conservatively. From the results of this study, we should not hesitate to offer the definitive surgery for the elderly with aSAH.",24153338,yes,yes,24153338
18534072,Do general practice characteristics influence uptake of an information technology (IT) innovation in primary care?,2008,no,"The analyses show that structural characteristics of a practice are not associated with uptake of a new IT facility, but that its use may be influenced by post-graduate education in the relevant clinical condition. For this diabetes system at least, practice nurse use was critical in spreading uptake beyond initial GP enthusiasts and for sustained and rising use in subsequent years.",18534072,yes,yes,18534072
8847047,Prognosis of well differentiated small hepatocellular carcinoma--is well differentiated hepatocellular carcinoma clinically early cancer?,,no,"W-d HCCs were clinically demonstrated not to be early cancer, because there was no significant difference in disease free survival between the patients with w-d and l-d HCCs.",8847047,yes,yes,8847047
10575390,Do follow-up recommendations for abnormal Papanicolaou smears influence patient adherence?,,no,"Adherence to follow-up was low in this family planning clinic population, no matter what type of follow-up was advised. Adherence was improved by the use of up to 3 reminders. Allocating resources to effective methods for improving adherence to follow-up of abnormal results may be more important than which follow-up procedure is recommended.",10575390,yes,yes,10575390
20084845,Biomolecular identification of allergenic pollen: a new perspective for aerobiological monitoring?,2009,yes,"The real-time PCR approach revealed promising results in pollen identification and quantification, even when analyzing pollen mixes. Future perspectives could concern the development of multiplex real-time PCR for the simultaneous detection of different taxa in the same reaction tube and the application of high-throughput molecular methods.",20084845,yes,yes,20084845
15703931,Does diabetes mellitus influence the efficacy of FDG-PET in the diagnosis of cervical cancer?,2005,no,"In comparison with its accuracy in non-DM patients, the accuracy of PET in cervical cancer patients with mild to moderate DM was not significantly reduced.",15703931,yes,no,15703931
18269157,Biomechanical and wound healing characteristics of corneas after excimer laser keratorefractive surgery: is there a difference between advanced surface ablation and sub-Bowman's keratomileusis?,2008,yes,"Ophthalmic pathology and basic science research show that SBK and ASA are improvements in excimer laser keratorefractive surgery compared to conventional LASIK or PRK, particularly with regard to maintaining corneal biomechanics and perhaps moderately reducing the risk of corneal haze. However, most of the disadvantages caused by wound healing issues remain.",18269157,no,no,18269157
25489696,Does radiotherapy of the primary rectal cancer affect prognosis after pelvic exenteration for recurrent rectal cancer?,2015,yes,Patients who previously received radiotherapy for primary rectal cancer treatment have worse oncologic outcomes than those who had not received radiotherapy after pelvic exenteration for locally recurrent rectal cancer.,25489696,yes,no,25489696
22537902,Colorectal cancer with synchronous liver metastases: does global management at the same centre improve results?,2013,no,"GM of CRC and SLM was associated with fewer procedures but did not influence overall survival. SM was associated with a longer delay and increased use of chemotherapy between procedures, suggesting that more rigorous selection of SM patients for surgery may explain the higher disease-free survival after SLM resection.",22537902,yes,no,22537902
19054501,Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,2009,yes,"Speed discrimination, per se, is not impaired in schizophrenia patients. The observed abnormality appears to be a consequence of impairment in generating or integrating the feedback information from eye movements. This study introduces a novel approach to motion perception studies and highlights the importance of concurrently measuring eye movements to understand interactions between these two systems; the results argue for a conceptual revision regarding motion perception abnormality in schizophrenia.",19054501,yes,no,19054501
16432652,Transgastric endoscopic splenectomy: is it possible?,2006,yes,Transgastric endoscopic splenectomy in a porcine model appears technically feasible. Additional long-term survival experiments are planned.,16432652,yes,yes,16432652
19504993,It's Fournier's gangrene still dangerous?,2009,yes,"The interval from the onset of clinical symptoms to the initial surgical intervention seems to be the most important prognostic factor with a significant impact on outcome. Despite extensive therapeutic efforts, Fournier's gangrene remains a surgical emergency and early recognition with prompt radical debridement is the mainstays of management.",19504993,yes,yes,19504993
20571467,Is it appropriate to implant kidneys from elderly donors in young recipients?,2010,yes,"We conclude that patient and graft survival on transplanting kidneys from elderly donors to young recipients is superimposable on that obtained with young donors. However, renal function is better in the group of young donors.",20571467,yes,no,20571467
24237112,Do provider service networks result in lower expenditures compared with HMOs or primary care case management in Florida's Medicaid program?,2014,yes,The Medicaid Demonstration in Florida appears to result in lower PMPM expenditures. Demonstration PSNs generated slightly greater reductions in expenditures compared to Demonstration HMOs. PSNs appear to be a promising model for delivering care to Medicaid enrollees.,24237112,yes,yes,24237112
21402341,Assessment of carotid artery stenosis before coronary artery bypass surgery. Is it always necessary?,2011,no,"In our cohort, selective screening of patients aged>70 years, with carotid bruit, a history of cerebrovascular disease, diabetes mellitus or PVD would have reduced the screening load by 40%, with trivial impact on surgical management or neurological outcomes.",21402341,no,yes,21402341
11340218,Does pretreatment with statins improve clinical outcome after stroke?,2001,no,"The statistical power of this case-referent study was such that only large beneficial effects of statins in acute stroke could be confirmed. However, the observed trend, together with experimental observations, is interesting enough to warrant a more detailed analysis of the relationship between statins and stroke outcome.",11340218,no,yes,11340218
25481573,Processing fluency effects: can the content and presentation of participant information sheets influence recruitment and participation for an antenatal intervention?,2015,yes,Font influenced pregnant women's ratings of intervention complexity.,25481573,yes,yes,25481573
25475395,Is there a correlation between androgens and sexual desire in women?,2015,yes,"In the present study, FT and androstenedione were statistically significantly correlated with sexual desire in the total cohort of women. ADT-G did not correlate more strongly than circulating androgens with sexual desire and is therefore not superior to measuring circulating androgens by mass spectrometry.",25475395,yes,yes,25475395
23177368,Does immediate breast reconstruction compromise the delivery of adjuvant chemotherapy?,2013,no,"We found no evidence that IBR compromised the delivery of adjuvant chemotherapy, although there was a significant incidence of implant infection.",23177368,no,yes,23177368
14612308,Can PRISM predict length of PICU stay?,2003,no,"The ANN with its intrinsic ability to detect non-linear correlation, and to relate specific item patterns to LOS, outperformed linear statistics but was still disappointing in estimating individual LOS. It might be speculated that therapeutic intervention modulates the natural course of the disease thus counteracting both disease severity as initially scored by PRISM, and LOS. This being true, the inverse of the correlation between PRISM (or PRISM based LOS estimate) and LOS might be a candidate indicator of quality of care.",14612308,yes,no,14612308
27491658,Can predilatation in transcatheter aortic valve implantation be omitted?,2016,yes,TAVI can be performed safely without balloon predilatation and with the same early results as achieved with the standard procedure including balloon predilatation. The reduction in the number of pacing periods required may be beneficial for the patient.,27491658,yes,yes,27491658
19822586,Autoerotic asphyxiation: secret pleasure--lethal outcome?,2009,yes,"Pediatricians should be alert to the earliest manifestations of AEA. Awareness of choking games among the young and, of those, a subset who eventually progress to potentially fatal AEA is strongly encouraged among all primary care professionals who may be able to interrupt the behavior.",19822586,yes,yes,19822586
27643961,Major depression and alcohol use disorder in adolescence: Does comorbidity lead to poorer outcomes of depression?,2016,no,"The results of these analyses suggest that marginally higher rates of depression to age 35 amongst the comorbid MD/AUD group were explained by increased exposure to adverse childhood circumstances amongst members of the comorbid group. Adolescent MD/AUD comorbidity is likely to be a risk marker, rather than a causal factor in subsequent MD.",27643961,yes,yes,27643961
23539689,Cold preparation use in young children after FDA warnings: do concerns still exist?,2013,yes,"Despite current recommendations, cough and cold medicines are still used in children younger than 6 years of age. A significant portion of caregivers report that they are still unaware of public warnings, potential side effects, and interactions with other medications.",23539689,yes,yes,23539689
22453060,Does a 4 diagram manual enable laypersons to operate the Laryngeal Mask Supreme®?,2012,yes,In manikin laypersons could insert LMAS in the correct direction after onsite instruction by a simple manual with a high success rate. This indicates some basic procedural understanding and intellectual transfer in principle. Operating errors (n = 91) were frequently not recognized and corrected (n = 77). Improvements in labeling and the quality of instructional photographs may reduce individual error and may optimize understanding.,22453060,yes,yes,22453060
22227642,Can we measure mesopic pupil size with the cobalt blue light slit-lamp biomicroscopy method?,2012,no,"Although the SLBM is quite repeatable, it underestimates mesopic pupil size and shows a too wide range of agreement with CIP. SLBM shows low sensitivity in detecting pupils larger than 6 mm, which may be misleading when planning anterior segment surgery. Previous grading-consensus training strategies may increase interrater reproducibility, and compensation for the systematic underestimation could improve accuracy of the SLBM.",22227642,yes,yes,22227642
12380309,Should circumcision be performed in childhood?,2002,no,"Incomplete separation between prepuce and glans penis is normal and common among new-borns, progressing until adolescence to spontaneous separation, at which time it is complete in the majority of boys. Accordingly to the criteria we have sustained for years and present study's findings, circumcision has few indications during childhood, as well as forced prepucial dilation.",12380309,no,yes,12380309
22186742,Does a colonoscopy after acute diverticulitis affect its management?,2012,no,"Our results suggest that colonoscopy does not affect the management of patients with acute diverticulitis nor alter the outcome. The current practice of a routine colonoscopy after acute diverticulitis, diagnosed by typical clinical symptoms and CT needs to be reevaluated.",22186742,no,no,22186742
22188074,Do instrumental activities of daily living predict dementia at 1- and 2-year follow-up?,2011,yes,"IADL disability is a useful addition to the diagnostic process in a memory clinic setting, indicating who is at higher risk of developing dementia at 1- and 2-year follow-up.",22188074,yes,yes,22188074
27989969,Does the Simultaneous Use of a Neuroendoscope Influence the Incidence of Ventriculoperitoneal Shunt Infection?,2017,no,"In the present study, the use of an endoscope during VPS procedures did not increase the risk of surgical infection.",27989969,yes,no,27989969
18607272,"Body perception: do parents, their children, and their children's physicians perceive body image differently?",2008,yes,Many children underestimated their degree of overweight. Their parents and even their attending physicians shared this misperception. This study demonstrates the need to further educate physicians to recognize obesity and overweight so that they can counsel children and their families.,18607272,yes,yes,18607272
18049437,Is there any relationship between streptococcal infection and multiple sclerosis?,2007,yes,"These findings indicate that a relationship between multiple sclerosis and streptococcal infections may exist, but to acquire a better understanding of the role of group A streptococci in the pathogenesis of multiple sclerosis, more studies with animal models are necessary.",18049437,yes,yes,18049437
15597845,Is the combination with 2-methoxyestradiol able to reduce the dosages of chemotherapeutices in the treatment of human ovarian cancer?,2004,yes,2ME is able to enhance the antiproliferative activity of certain chemotherapeutics at pharmacological relevant concentrations. This estradiol metabolite is currently in a phase II trial in patients with refractary metastatic breast cancer and the tolerability has been shown to be very good. The combination of 2ME with chemotherapeutics may therefore offer a new clinically relevant treatment regimen for hormone-dependent cancer.,15597845,yes,yes,15597845
24996865,Assessing joint line positions by means of the contralateral knee: a new approach for planning knee revision surgery?,2015,yes,"As a new assessment method, we have suggested to assess the JL by means of radiographs of the contralateral knee. The most precise parameter was found to be the distance between the fibular head and the JL. The level of arthritis, age, gender, visibility of the landmarks, and misalignment did not influence measurement accuracy. This parameter is the first tibia-related landmark for assessing the JL, which advantageously corresponds to the tibia-first technique in revision surgery.",24996865,yes,yes,24996865
23361217,Does the type of tibial component affect mechanical alignment in unicompartmental knee replacement?,2013,yes,"Patients who received a metal-backed Onlay tibial component obtained better postoperative mechanical alignment compared to those who received all-polyethylene Inlay prostheses. The thicker overall construct of Onlay prostheses appears to be an important determinant of postoperative alignment. Considering their higher survivorship rates and improved postoperative mechanical alignment, Onlay prostheses should be the first option when performing medial UKR.",23361217,yes,yes,23361217
14518645,Injury and poisoning mortality among young men--are there any common factors amenable to prevention?,2003,yes,"Alcohol and drug use are important contributory factors to injury and poisoning deaths. More research is needed into the effects of unemployment and being single on the health of young men, and to investigate the motivations behind risk taking and self-destructive behaviour.",14518645,yes,yes,14518645
26449554,Does either obesity or OSA severity influence the response of autotitrating CPAP machines in very obese subjects?,2016,yes,"In this population, neither BMI nor neck circumference nor waist circumference is predictive of autoCPAP pressure. Therefore, the previously derived algorithm does not adequately predict the fixed CPAP pressure for subsequent clinical use in these obese individuals. In addition, some subjects without OSA generated high autoCPAP pressures, and thus, the correlation between OSA severity and autoCPAP pressure was only moderate.",26449554,yes,yes,26449554
26215326,Does the clinical presentation of a prior preterm birth predict risk in a subsequent pregnancy?,2015,yes,Patients with a history of ACD are at an increased risk of having recurrent preterm birth and cervical shortening in a subsequent pregnancy compared with women with prior preterm birth associated PPROM or PTL.,26215326,yes,yes,26215326
29112560,Is the Distance Worth It?,2017,yes,"Our results indicate that when controlled for patient, tumor, and hospital factors, patients who traveled a long distance to a high-volume center had improved lymph node yield, neoadjuvant chemoradiation receipt, and 30- and 90-day mortality compared with those who traveled a short distance to a low-volume center. They also had improved 5-year survival. See Video Abstract at http://links.lww.com/DCR/A446.",29112560,no,yes,22236315
24315783,Aripiprazole: a new risk factor for pathological gambling?,2014,yes,Adverse drug reactions were confronted with other already published case reports. Dopamine partial agonist mechanism of aripiprazole could explain the occurrence of pathological gambling.,24315783,yes,no,24315783
9381529,Immune suppression by lysosomotropic amines and cyclosporine on T-cell responses to minor and major histocompatibility antigens: does synergy exist?,1997,yes,Lysosomotropic amines in combination with cyclosporine appear to be synergistic in the suppression of T-cell proliferation to MiHC and MHC. Use of chloroquine in combination with cyclosporine may result in improved control of GVHD.,9381529,yes,yes,9381529
8985020,Does induction chemotherapy have a role in the management of nasopharyngeal carcinoma?,1996,yes,"While not providing conclusive evidence, this single institution experience suggests that neoadjuvant chemotherapy for Stage IV NPC patients improves both survival and disease control. Recurrence within the irradiated volume was the most prevalent mode of failure and future studies will evaluate regimens to enhance local regional control.",8985020,yes,yes,8985020
19757704,Is Chaalia/Pan Masala harmful for health?,2009,yes,"The frequency of habits of Chaalia and Pan Masala chewing, by school children in lower socio-economic areas is extremely high. The probable reasons for this high frequency are taste, the widespread use of these substances by family members and friends, low cost and easy availability.",19757704,yes,yes,19757704
27592038,Does multi-modal cervical physical therapy improve tinnitus in patients with cervicogenic somatic tinnitus?,2016,yes,"Cervical physical therapy can have a positive effect on subjective tinnitus complaints in patients with a combination of tinnitus and neck complaints. Larger studies, using more responsive outcome measures, are however necessary to prove this effect.",27592038,yes,yes,27592038
9792366,Is HIV/STD control in Jamaica making a difference?,1998,yes,"HIV/STD control measures appear to have slowed the HIV/AIDS epidemic in Jamaica, however a significant minority of persons continue to have unprotected sex in high risk situations.",9792366,yes,yes,9792366
15800018,Are even impaired fasting blood glucose levels preoperatively associated with increased mortality after CABG surgery?,2005,yes,The elevated risk of death after CABG surgery known previously to be associated with CDM seems also to be shared by a group of similar size that includes patients with IFG and undiagnosed DM.,15800018,yes,yes,15800018
14978612,Does positron emission tomography change management in primary rectal cancer?,2004,yes,"Position emission tomography scanning appears to accurately change the stage or appropriately alter the therapy of almost a third of patients with advanced primary rectal cancer. In view of this, we suggest that position emission tomography scanning be considered part of standard workup for such patients, particularly if neoadjuvant chemoradiation is being considered as part of primary management.",14978612,yes,no,14978612
18843057,Can you deliver accurate tidal volume by manual resuscitator?,2008,no,"The tidal volume delivered by a manual resuscitator shows large variations. There were significant differences in the volume delivered by compression methods, but physical characteristics are not a predictor of tidal volume delivery. The manual resuscitator is not a suitable device for accurate ventilation.",18843057,no,no,18843057
23076787,Can increases in the cigarette tax rate be linked to cigarette retail prices?,2012,no,"Numerous studies have found that taxation is one of the most effective policy instruments for tobacco control. However, these findings come from countries that have market economies where market forces determine prices and influence how cigarette taxes are passed to the consumers in retail prices. China's tobacco industry is not a market economy; therefore, non-market forces and the current Chinese tobacco monopoly system determine cigarette prices. The result is that tax increases do not necessarily get passed on to the retail price.",23076787,no,yes,23076787
9199905,Vertical lines in distal esophageal mucosa (VLEM): a true endoscopic manifestation of esophagitis in children?,1997,yes,Histology usually demonstrated moderate to severe inflammation when VLEM were present. VLEM may be a highly specific endoscopic feature of esophagitis in children.,9199905,yes,no,9199905
23999452,Does hypoglycaemia increase the risk of cardiovascular events?,2013,yes,"Severe hypoglycaemia is associated with an increased risk for CV outcomes in people at high CV risk and dysglycaemia. Although allocation to insulin glargine vs. standard care was associated with an increased risk of severe and non-severe hypoglycaemia, the relative risk of CV outcomes with hypoglycaemia was lower with insulin glargine-based glucose-lowering therapy than with the standard glycaemic control. Trial Registration (ORIGIN ClinicalTrials.gov number NCT00069784).",23999452,yes,yes,23999452
22534881,Does the radiographic transition zone correlate with the level of aganglionosis on the specimen in Hirschsprung's disease?,2012,no,Correlation between level of radiographic transition zone on contrast enema and length of aganglionosis remains low. Systematic preoperative biopsy by coelioscopy or ombilical incision is mandatory.,22534881,yes,yes,22534881
24785562,Is dexamethasone an effective alternative to oral prednisone in the treatment of pediatric asthma exacerbations?,2014,yes,"The current literature suggests that dexamethasone can be used as an effective alternative to prednisone in the treatment of mild to moderate acute asthma exacerbations in children, with the added benefits of improved compliance, palatability, and cost. However, more research is needed to examine the role of dexamethasone in hospitalized children.",24785562,yes,no,24785562
22564465,Mammographic screening in Sami speaking municipalities and a control group. Are early outcome measures influenced by ethnicity?,2012,yes,"Despite a lower risk of breast cancer, the Sami attended the NBCSP more frequently than the control group. The recall and cancer detection rate was lower among the Sami compared with the non-Sami group.",22564465,yes,yes,22564465
27456836,Do Electrochemiluminescence Assays Improve Prediction of Time to Type 1 Diabetes in Autoantibody-Positive TrialNet Subjects?,2016,yes,ECL assays improved the ability to predict time to diabetes in these autoantibody-positive relatives at risk for developing diabetes. These findings might be helpful in the design and eligibility criteria for prevention trials in the future.,27456836,yes,yes,27456836
27287237,Assessment of appropriate antimicrobial prescribing: do experts agree?,2016,yes,"Doctors specialized in infectious diseases and clinical microbiology assess the appropriateness of antimicrobials prescribed for a broad spectrum of indications with acceptable agreement and validity, regardless of their experience or hospital of employment. However, there is room for improvement, which merits attention in multidisciplinary discussions and education.",27287237,yes,no,27287237
14697414,Is there a favorable subset of patients with prostate cancer who develop oligometastases?,2004,yes,"Patients with<or =5 metastatic sites had significantly better survival rates than patients with>5 lesions. Because existing sites of metastatic disease may be the primary sites of origin for additional metastases, our findings suggest that early detection and aggressive treatment of patients with a small number of metastatic lesions is worth testing as an approach to improving long-term survival.",14697414,yes,no,15708048
15530261,Does screening or surveillance for primary hepatocellular carcinoma with ultrasonography improve the prognosis of patients?,,yes,The significant impact of ultrasonographic screening on mortality reduction was demonstrated. These findings strongly suggest that early detection of hepatocellular carcinoma by ultrasound may improve the prognosis of patients with hepatocellular carcinoma.,15530261,yes,yes,15530261
21823940,Department of Transportation vs self-reported data on motor vehicle collisions and driving convictions for stroke survivors: do they agree?,2011,no,"In our population of stroke survivors, self-reports of motor vehicle collisions and driving convictions differed from government records. In future studies, the use of both government and self-reported data would ensure a more accurate picture of driving safety post-stroke.",21823940,yes,no,21823940
27217036,"Neoadjuvant Imatinib in Locally Advanced Gastrointestinal stromal Tumours, Will Kit Mutation Analysis Be a Pathfinder?",2016,yes,Upfront evaluation of kit mutation status may help us in delineating separate treatment strategies for potentially biologically different tumours and assessing the correct timing of surgery for this subset of GIST.,27217036,no,no,27217036
18565233,Does the lipid-lowering peroxisome proliferator-activated receptors ligand bezafibrate prevent colon cancer in patients with coronary artery disease?,2008,yes,"Our data, derived from patients with coronary artery disease, support the hypothesis regarding a possible preventive effect of bezafibrate on the development of colon cancer.",18565233,yes,no,18565233
19459018,Very high serum CA 19-9 levels: a contraindication to pancreaticoduodenectomy?,2009,no,Patients who normalized their CA19-9 levels postoperatively had equivalent survival to patients with normal preoperative CA 19-9 levels. Preoperative serum CA 19-9 level by itself should not preclude surgery in patients who have undergone careful preoperative staging.,19459018,no,yes,19459018
